Feature,Importance
customerID_9605-WGJVW,0.0003853478890429308
customerID_7845-URHJN,0.00038263240233475524
customerID_5577-OTWWW,0.00038241426902127425
customerID_1150-WFARN,0.0003819827240597797
customerID_1218-VKFPE,0.0003818067011215528
customerID_3900-AQPHZ,0.00038138920077736467
customerID_7465-ZZRVX,0.0003812877958255757
customerID_1043-YCUTE,0.00038036325183162813
customerID_0378-XSZPU,0.0003786256488317835
customerID_4760-XOHVN,0.00037850107354314786
customerID_0031-PVLZI,0.00037819036658009666
customerID_5542-TBBWB,0.00037660390461400175
customerID_7893-IXHRQ,0.0003745209528083404
customerID_6034-ZRYCV,0.0003727393439064099
customerID_1349-WXNGG,0.0003726004156029177
customerID_8634-CILSZ,0.000372475793253824
customerID_5687-DKDTV,0.00037040569561312713
customerID_6849-WLEYG,0.00036594388631357736
customerID_4140-WJAWW,0.00036293266891706275
customerID_3259-FDWOY,0.0003623160614922966
customerID_5271-YNWVR,0.0003618526370294467
customerID_1934-SJVJK,0.0003612177327554834
customerID_9378-FXTIZ,0.0003607512070516198
customerID_7989-CHGTL,0.00035929513665054595
customerID_1555-DJEQW,0.00035834480353912724
customerID_3090-HAWSU,0.00035814441797707734
customerID_5510-BOIUJ,0.00035801139549623313
customerID_4355-HBJHH,0.0003579647166934366
customerID_2634-HCZGT,0.00035731355056636637
customerID_4749-OJKQU,0.0003553988092481388
customerID_0021-IKXGC,0.0003544002914483292
customerID_5515-IDEJJ,0.0003541447713331432
customerID_7239-HZZCX,0.00035192456647316155
customerID_0748-RDGGM,0.0003515117221510233
customerID_3878-AVSOQ,0.0003513353609696257
customerID_7083-YNSKY,0.00035071428205866903
customerID_4160-AMJTL,0.0003503545018035636
customerID_6425-YQLLO,0.0003499626304754308
customerID_4667-OHGKG,0.00034938799991236465
customerID_2325-ZUSFD,0.0003490727964521472
customerID_8073-IJDCM,0.00034835830393976377
customerID_0866-QLSIR,0.000345238205954579
customerID_4211-MMAZN,0.00034385991001896916
customerID_7577-SWIFR,0.00034356530421716344
customerID_4800-CZMPC,0.00034314425442038665
customerID_6598-RFFVI,0.00034314141779879403
customerID_0733-VUNUW,0.0003429491402720793
customerID_0156-FVPTA,0.0003410237632192612
customerID_4322-RCYMT,0.0003409159187018478
customerID_1444-VVSGW,0.00033960860672892234
customerID_2898-LSJGD,0.00033956133257721674
customerID_6302-JGYRJ,0.00033941443418491416
customerID_7762-URZQH,0.00033899705303665147
customerID_1493-AMTIE,0.0003372802645612185
customerID_6804-GDMOI,0.00033640672263353036
customerID_6173-ITPWD,0.0003362983647608687
customerID_0348-SDKOL,0.0003353980977503489
customerID_8785-EPNCG,0.00033538920174616216
customerID_3886-CERTZ,0.00033194759928916823
customerID_0426-TIRNE,0.00033134084999357033
customerID_4588-YBNIB,0.0003310400244730389
customerID_2955-PSXOE,0.0003295779547483496
customerID_2957-LOLHO,0.000328037803681238
customerID_5906-CVLHP,0.0003278796992994242
customerID_4255-DDUOU,0.0003261191073749342
customerID_7657-DYEPJ,0.00032521314882505935
customerID_2886-KEFUM,0.00032482512204927313
customerID_9249-FXSCK,0.0003247651286927923
customerID_9039-RBEEE,0.00032247242649501766
customerID_1322-AGOQM,0.00032236089557893366
customerID_1585-MQSSU,0.00032146200038572125
customerID_4139-SUGLD,0.00032036796953258844
customerID_7434-SHXLS,0.0003197694932282214
customerID_2150-UWTFY,0.0003194824407626495
customerID_5020-ZSTTY,0.0003192427918900483
customerID_8182-PNAGI,0.00031924141046980756
customerID_4925-LMHOK,0.00031922790435796
customerID_8749-JMNKX,0.0003185376580816383
customerID_8559-CIZFV,0.00031847211152379707
customerID_6986-IJDHX,0.00031752318934999294
customerID_9259-PACGQ,0.00031704872513299565
customerID_8809-RIHDD,0.00031622496840483016
customerID_0093-XWZFY,0.00031447013826807767
customerID_0565-IYCGT,0.00031436689219136696
customerID_2403-BCASL,0.0003143547633946431
customerID_3803-KMQFW,0.0003143104451389532
customerID_4786-UKSNZ,0.0003140966026341673
customerID_4090-KPJIP,0.00031408464511137346
customerID_4612-THJBS,0.00031402562219334004
customerID_6141-OOXUQ,0.00031295315526454204
customerID_8305-VHZBZ,0.0003115818512251079
customerID_1984-FCOWB,0.00031082640507535254
customerID_7854-EDSSA,0.0003106318463736519
customerID_7683-CBDKJ,0.0003103798973785436
customerID_8627-EHGIP,0.00031003054908803647
customerID_3927-NLNRY,0.00030999617712218475
customerID_5708-EVONK,0.00030999360249387803
customerID_7547-EKNFS,0.00030979095435755506
customerID_3943-KDREE,0.00030842050439587327
customerID_2789-HQBOU,0.00030776710284224034
customerID_6345-ULYRW,0.00030772123385697394
customerID_7549-MYGPK,0.000306902239434107
customerID_6927-WTFIV,0.0003060351069288307
customerID_6289-CPNLD,0.00030522364526948837
customerID_3976-BWUCK,0.0003048694589567282
customerID_7459-RRWQZ,0.00030459506264376047
customerID_0587-DMGBH,0.00030439994243946296
customerID_7359-SSBJK,0.00030368673415295637
customerID_5089-IFSDP,0.0003031908785006139
customerID_2894-QOJRX,0.0003024274094913623
customerID_9360-AHGNL,0.0003020696911672292
customerID_3656-TKRVZ,0.0003015906469212256
customerID_1265-XTECC,0.0002998997588888216
customerID_4554-YGZIH,0.00029972468978259066
customerID_9717-QEBGU,0.0002996365861241769
customerID_4361-BKAXE,0.00029884924105825106
customerID_0617-FHSGK,0.0002986198211980547
customerID_5294-CDGWY,0.00029850928176393876
customerID_7541-YLXCL,0.0002979905422953029
customerID_5028-HTLJB,0.0002975914763635301
customerID_6635-MYYYZ,0.00029754340699142883
customerID_0691-JVSYA,0.0002966626789227982
customerID_4510-PYUSH,0.00029659160747210183
customerID_1120-BMWUB,0.00029549977883750546
customerID_9334-GWGOW,0.0002954541687551763
customerID_5099-BAILX,0.0002953818364175879
customerID_4541-RMRLG,0.0002937582542430896
customerID_2533-QVMSK,0.0002933250013981395
customerID_9651-GTSAQ,0.00029327579679897344
customerID_3838-OZURD,0.00029308850339633145
customerID_2408-TZMJL,0.00029195893678480065
customerID_1228-FZFRV,0.00029127115663052296
customerID_5154-VEKBL,0.0002909063156351944
customerID_8901-HJXTF,0.00029035923756516797
customerID_5766-XQXMQ,0.00028985228032571756
customerID_4190-MFLUW,0.0002895501361190307
customerID_6825-UYPFK,0.0002886672580390386
customerID_7931-PXHFC,0.0002880267778485673
customerID_7839-QRKXN,0.0002879356153372752
customerID_4971-PUYQO,0.0002878474183632824
customerID_8773-HHUOZ,0.0002878384900125666
customerID_9053-JZFKV,0.0002871774566535193
customerID_0991-BRRFB,0.00028672352624146546
customerID_5174-RNGBH,0.0002864022711347177
customerID_3580-REOAC,0.0002862032018370882
customerID_5356-RHIPP,0.0002859817152545205
customerID_0201-OAMXR,0.0002858640020474432
customerID_6077-BDPXA,0.000285505427549132
customerID_6680-NENYN,0.00028409369616950666
customerID_2688-BHGOG,0.00028402465585050516
customerID_7721-JXEAW,0.0002839629978785092
customerID_1699-HPSBG,0.0002835627235902269
customerID_3285-UCQVC,0.0002830030408361384
customerID_0979-PHULV,0.00028286044026696916
customerID_3351-NQLDI,0.0002822888740470935
